,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
407,20211012,2,3,2,7,17,27,100,58,129.57794117647057,1.142156862745098,0.1102941176470588
408,20211013,2,3,4,5,5,27,60,46,128.7281173594132,0.7004889975550121,0.0537897310513447
409,20211014,3,2,2,4,9,31,53,51,128.6809756097561,0.5804878048780489,0.048780487804878
410,20211015,3,1,2,7,9,18,61,40,128.6287104622871,0.4841849148418492,0.0437956204379561
411,20211018,5,2,2,6,11,28,59,54,128.58349514563108,0.6953883495145631,0.0582524271844659
412,20211019,5,1,5,7,10,33,73,61,128.54188861985472,0.8644067796610169,0.0823244552058111
413,20211020,4,3,8,3,13,31,82,62,128.10096618357488,1.2028985507246377,0.1328502415458937
414,20211021,2,4,10,4,12,28,80,60,127.65927710843374,1.3686746987951808,0.144578313253012
415,20211022,2,2,6,10,7,22,60,49,127.6125,0.96875,0.0961538461538461
416,20211025,2,5,5,10,16,36,104,74,127.5779376498801,1.9100719424460435,0.2254196642685851
417,20211026,3,3,4,5,19,38,84,72,127.54258373205742,1.3732057416267944,0.1483253588516746
418,20211027,2,1,6,6,14,43,88,72,127.5073985680191,1.214797136038186,0.1360381861575179
419,20211028,1,4,1,3,16,29,89,54,127.46380952380952,1.063095238095238,0.1095238095238095
420,20211029,2,1,4,3,27,30,94,67,127.42660332541568,1.2066508313539193,0.1377672209026128
421,20211101,1,4,9,11,31,56,148,112,127.01090047393365,3.2369668246445493,0.45260663507109
422,20211102,2,0,14,11,25,61,138,113,126.59574468085108,2.873522458628842,0.3900709219858156
423,20211103,1,5,17,24,24,91,187,162,127.00377358490566,4.496462264150944,0.6485849056603774
424,20211104,2,5,15,21,39,60,193,142,127.40235294117647,4.389411764705882,0.64
425,20211105,2,6,16,12,28,62,164,126,127.39342723004695,3.848591549295774,0.5492957746478873
426,20211108,3,4,18,15,36,67,167,143,127.39250585480094,4.128805620608899,0.5901639344262295
427,20211109,6,5,20,23,49,109,239,212,127.42383177570092,5.351635514018692,0.7523364485981309
428,20211110,7,4,17,24,45,91,227,188,127.44382284382286,4.947552447552448,0.7086247086247086
429,20211111,6,5,19,18,45,97,202,190,127.4646511627907,4.962790697674419,0.7093023255813953
430,20211112,8,10,27,27,39,116,262,227,127.50255220417634,5.856148491879349,0.8491879350348028
431,20211115,7,7,22,25,48,98,251,207,127.93101851851851,5.532407407407407,0.7731481481481481
432,20211116,8,8,13,28,42,77,223,176,128.34503464203237,5.0173210161662825,0.7205542725173211
433,20211117,7,9,19,28,59,98,232,220,128.37926267281105,5.708525345622119,0.804147465437788
434,20211118,7,6,28,23,48,112,232,224,128.4151724137931,5.583908045977012,0.7770114942528735
435,20211119,9,13,28,29,56,124,288,259,128.46697247706422,6.309633027522937,0.9426605504587156
436,20211122,10,10,34,30,63,131,300,278,128.52723112128146,6.392448512585813,0.9633867276887872
437,20211123,12,7,37,43,51,120,330,270,129.3835616438356,6.244292237442923,0.9223744292237444
438,20211124,16,9,43,36,86,165,391,355,130.27835990888383,6.572892938496583,0.979498861047836
439,20211125,11,14,37,52,90,205,508,409,130.39727272727274,6.8159090909090905,0.9886363636363636
440,20211126,11,10,34,46,85,160,405,346,130.487074829932,6.594104308390023,0.9773242630385488
441,20211129,10,12,33,42,80,152,351,329,130.968778280543,6.608597285067874,0.9773755656108596
442,20211130,11,15,39,37,81,191,406,374,131.4704288939052,6.740406320541761,0.9864559819413092
443,20211201,11,16,36,38,72,189,432,362,131.56621621621622,6.70945945945946,0.9797297297297296
444,20211202,5,12,29,31,47,133,292,257,131.61438202247191,6.144943820224719,0.8808988764044944
445,20211203,7,8,24,25,60,147,333,271,131.66860986547087,6.005605381165919,0.8475336322869955
446,20211206,5,8,16,22,56,113,267,220,131.69977628635348,5.438478747203579,0.7404921700223714
447,20211207,6,4,6,17,45,78,204,156,131.70223214285716,3.9174107142857135,0.5334821428571428
448,20211208,7,1,8,19,34,102,217,171,131.71135857461024,3.869710467706013,0.5278396436525612
449,20211209,7,2,11,16,27,80,193,143,131.708,3.6066666666666665,0.48
450,20211210,7,3,8,11,23,71,188,123,131.69578713968957,3.099778270509978,0.3991130820399113
451,20211213,8,4,3,10,28,71,191,124,131.6840707964602,3.0464601769911503,0.3938053097345132
452,20211214,10,3,10,16,25,75,214,139,131.67902869757177,3.6501103752759385,0.4900662251655628
453,20211215,8,4,13,18,18,55,158,116,131.66387665198238,3.196035242290749,0.4229074889867841
454,20211216,11,5,17,19,26,60,206,138,131.65846153846155,4.012087912087912,0.5538461538461539
455,20211217,12,7,12,16,20,55,155,122,131.64605263157895,3.4046052631578947,0.4473684210526315
456,20211220,11,9,16,9,28,43,140,116,131.63107221006567,3.2811816192560173,0.4354485776805251
457,20211221,12,7,16,15,19,68,157,137,131.62532751091703,3.6932314410480354,0.4956331877729257
458,20211222,10,10,8,12,21,78,151,139,131.62047930283225,3.5849673202614385,0.4814814814814815
459,20211223,10,2,20,11,31,62,140,136,131.61434782608697,3.339130434782609,0.4413043478260869
