,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
325,20210609,3,4,,1,4,2,4,2,1,4,1,3,3,4,2
326,20210610,4,3,,1,4,2,4,3,1,4,1,2,3,4,2
327,20210611,,3,4,3,4,1,4,3,1,4,1,2,2,4,2
328,20210615,4,4,,2,4,1,,4,1,4,1,2,3,3,2
329,20210616,4,,3,2,4,1,4,3,1,3,1,4,2,4,2
330,20210617,4,4,2,2,4,2,,3,1,3,1,4,1,4,3
331,20210618,4,4,3,2,4,1,,3,1,4,1,2,2,4,3
332,20210621,4,4,4,1,3,2,,3,1,4,1,2,3,4,2
333,20210622,3,4,,1,2,3,4,3,1,4,1,2,4,4,2
334,20210623,4,4,,1,4,2,4,3,1,,1,2,3,4,2
335,20210624,3,4,,2,4,2,3,3,1,4,1,1,4,4,2
336,20210625,4,,4,3,3,1,3,2,1,4,1,2,4,4,2
337,20210628,4,4,4,3,1,2,3,3,1,,1,2,4,4,2
338,20210629,4,4,,4,2,1,4,2,1,,1,2,3,4,3
339,20210630,4,,4,4,2,1,3,2,1,4,1,2,3,4,3
340,20210701,4,,4,,1,2,3,2,1,4,1,2,4,4,3
341,20210702,4,,4,4,1,2,3,2,1,4,1,3,3,4,2
342,20210705,,4,,4,3,1,4,2,1,4,1,2,3,4,2
343,20210706,4,4,,3,4,1,3,2,1,,1,2,4,4,2
344,20210707,4,3,4,3,3,1,4,2,1,,1,2,4,4,2
345,20210708,4,3,4,2,3,1,4,3,1,,1,2,4,4,2
346,20210709,3,3,4,3,4,1,4,2,1,,1,2,4,4,2
347,20210712,3,4,4,2,4,1,3,3,1,,1,2,4,4,2
348,20210713,3,3,4,3,4,1,2,4,1,4,1,2,4,,2
349,20210714,4,3,4,4,2,1,3,3,1,,1,2,4,4,2
350,20210715,4,4,4,2,3,1,2,2,1,,1,4,4,,3
351,20210716,4,4,4,2,2,1,3,4,1,,1,3,,4,2
352,20210719,2,4,4,4,2,1,3,3,1,4,1,2,,,4
353,20210720,4,4,4,3,2,1,4,3,1,4,1,2,,,2
354,20210721,4,4,4,3,3,1,3,4,1,,1,2,,,2
355,20210722,3,4,4,3,4,1,3,4,1,,1,2,,,2
356,20210723,3,4,4,2,4,1,3,4,1,,1,2,,4,2
357,20210726,3,4,4,2,4,1,3,4,1,,1,2,,4,2
358,20210727,3,4,4,2,4,1,3,4,1,,1,2,,4,2
359,20210728,3,4,4,2,4,1,3,3,1,,1,2,4,4,2
360,20210729,4,4,4,2,4,1,3,3,1,,1,2,3,4,2
361,20210730,4,4,,2,4,1,3,4,1,,1,2,3,4,2
362,20210802,4,4,,2,3,1,3,4,1,,1,2,4,4,2
363,20210803,,4,,1,2,2,3,4,1,4,1,3,4,4,2
364,20210804,4,4,,2,2,2,3,4,1,,1,3,4,4,1
365,20210805,3,4,,1,3,1,4,4,2,,1,2,4,4,2
366,20210806,3,4,4,1,3,1,3,4,2,,1,2,4,4,2
367,20210809,4,3,4,1,3,1,3,4,2,4,1,2,4,,2
368,20210810,4,3,4,1,3,1,3,4,2,4,1,2,4,,2
369,20210811,4,3,4,1,4,1,3,3,2,4,1,2,4,,2
370,20210812,4,3,4,2,3,1,3,4,1,4,1,2,4,,2
371,20210813,3,4,4,2,3,1,3,4,2,,1,2,4,4,1
372,20210816,3,3,4,2,4,1,3,4,1,4,1,2,4,,2
373,20210817,3,3,4,2,4,1,3,4,2,4,1,2,4,,1
374,20210818,4,2,4,1,4,1,2,4,3,3,1,3,4,,2
375,20210819,4,2,,1,3,1,4,3,2,4,1,3,4,4,2
376,20210820,4,4,,1,3,1,2,4,2,3,1,3,4,4,2
377,20210823,4,3,,2,4,1,3,4,2,3,1,2,4,4,1
378,20210824,4,3,4,2,4,1,3,3,2,4,1,2,4,,1
379,20210825,4,3,,2,4,1,4,3,2,4,1,2,3,4,1
380,20210826,4,2,4,3,4,1,2,3,2,,1,3,4,4,1
381,20210827,4,2,4,3,4,1,3,3,2,,1,2,4,4,1
382,20210830,4,4,,2,,1,3,4,2,4,1,2,3,4,1
383,20210831,4,3,,2,4,1,2,4,2,4,1,4,3,,1
384,20210901,4,4,,2,,1,1,2,3,3,1,4,4,4,2
385,20210902,4,2,4,4,,1,1,4,2,2,1,3,4,3,3
386,20210903,3,2,,4,4,1,1,2,2,4,1,4,4,3,3
387,20210906,4,1,,,4,1,2,2,4,3,1,4,4,3,2
388,20210907,4,1,,,4,1,2,3,3,4,1,4,4,2,2
389,20210908,4,1,,4,4,1,3,2,2,4,1,,4,3,2
390,20210909,4,1,,4,4,1,2,3,3,4,1,4,,2,2
391,20210910,4,1,4,4,4,1,2,2,2,3,1,4,,3,3
