,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
176,20201029.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,1,2,4,1.0,1.0,4.0,4.0,2.0
177,20201030.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2,1,4,1.0,1.0,3.0,4.0,3.0
178,20201102.0,4.0,4,4.0,4.0,3.0,2.0,3.0,2,1,4.0,1.0,1.0,3.0,4.0,2.0
179,20201103.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2,1,4,1.0,2.0,3.0,4.0,1.0
180,20201104.0,4,4.0,4.0,4.0,3.0,2.0,3.0,2,2,4.0,1.0,1.0,3.0,4.0,1.0
181,20201105.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,2,2,4,1.0,1.0,4.0,4.0,2.0
182,20201106.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2,1,4,1.0,1.0,4.0,3.0,2.0
183,20201109.0,4.0,4,4.0,4.0,3.0,1.0,3.0,1,1,4.0,2.0,2.0,4.0,2.0,3.0
184,20201110.0,4.0,4.0,4,4.0,3.0,1.0,3.0,1,1,4.0,2.0,2.0,4.0,3.0,2.0
185,20201111.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1,1,4.0,2.0,2.0,4,3.0,3.0
186,20201112.0,3.0,4.0,4,4.0,4.0,1.0,2.0,1,2,4,1.0,2.0,3.0,4.0,4.0
187,20201113.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,2,1,4,1.0,2.0,3.0,4.0,3.0
188,20201116.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1,2,4,1.0,2.0,4,2.0,3.0
189,20201117.0,4.0,4.0,4,4.0,3.0,1.0,3.0,1,2,4,2.0,2.0,4.0,1.0,4.0
190,20201118.0,4.0,4,4,3.0,4.0,1.0,3.0,1,3,4,1.0,2.0,4.0,2.0,4.0
191,20201119.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,1,2,4,2.0,1.0,4.0,3.0,3.0
192,20201120.0,4.0,4,3.0,2.0,4.0,1.0,4.0,1,2,4,2.0,1.0,4.0,3.0,4.0
